Ticker, Routing, Documentation, Label,Smallest unit Decimal (number)
MOONCAT_ETH,MOONCAT.ETH,MOONCAT Vault  NFTX,MOONCAT Vault  NFTX,18
ALGOBULL_ETH,ALGOBULL.ETH,3X Long Algorand To,3X Long Algorand To,18
PLBT_ETH,PLBT.ETH,Polybius,Polybius,6
SPKI_ETH,SPKI.ETH,Spike Inu,Spike Inu,9
GAT_ETH,GAT.ETH,Global AEX Token,Global AEX Token,0
KNX_ETH,KNX.ETH,KnoxEdge,KnoxEdge,18
ENTR_ETH,ENTR.ETH,EnterDAO,EnterDAO,18
GTC_ETH,GTC.ETH,Gitcoin,Gitcoin,18
AZUM_ETH,AZUM.ETH,Azuma Coin,Azuma Coin,18
DFSOCIAL_ETH,DFSOCIAL.ETH,DFSocial  Old ,DFSocial  Old ,18
CGT_ETH,CGT.ETH,CACHE Gold,CACHE Gold,8
WVG0_ETH,WVG0.ETH,Wrapped Virgin Gen ,Wrapped Virgin Gen ,18
STND_ETH,STND.ETH,Standard Protocol,Standard Protocol,18
DEFIHEDGE_ETH,DEFIHEDGE.ETH,1X Short DeFi Index,1X Short DeFi Index,0
GETH_ETH,GETH.ETH,Guarded Ether,Guarded Ether,18
KFT_ETH,KFT.ETH,Knit Finance,Knit Finance,18
LIME_ETH,LIME.ETH,iMe Lab,iMe Lab,18
IT_ETH,IT.ETH,Infinity Token,Infinity Token,9
SHIBAMON_ETH,SHIBAMON.ETH,Shibamon,Shibamon,9
BALPHA_ETH,BALPHA.ETH,bAlpha,bAlpha,18
USDQ_ETH,USDQ.ETH,USDQ,USDQ,18
IETH_ETH,IETH.ETH,iEthereum,iEthereum,8
BAKC_ETH,BAKC.ETH,BAKC Vault  NFTX ,BAKC Vault  NFTX ,18
PAT_ETH,PAT.ETH,Patron,Patron,18
EYE_ETH,EYE.ETH,MeDIA eYe,MeDIA eYe,18
BXA_ETH,BXA.ETH,Blockchain Exchange,Blockchain Exchange,18
PBENGALS_ETH,PBENGALS.ETH,Bengals   Super Bow,Bengals   Super Bow,6
PRIVHEDGE_ETH,PRIVHEDGE.ETH,1X Short Privacy In,1X Short Privacy In,0
FOXX_ETH,FOXX.ETH,Star Foxx,Star Foxx,18
FACE_ETH,FACE.ETH,FaceDAO,FaceDAO,9
AXA_ETH,AXA.ETH,Alldex Alliance,Alldex Alliance,18
BAND_ETH,BAND.ETH,Band Protocol,Band Protocol,18
GSE_ETH,GSE.ETH,GSENetwork,GSENetwork,4
NCT_ETH,NCT.ETH,PolySwarm,PolySwarm,18
COMPBEAR_ETH,COMPBEAR.ETH,3X Short Compound T,3X Short Compound T,0
MNFST_ETH,MNFST.ETH,Manifest,Manifest,9
COIN_ETH,COIN.ETH,Coin,Coin,18
P4C_ETH,P4C.ETH,Parts of Four Coin,Parts of Four Coin,18
BCHHALF_ETH,BCHHALF.ETH,0 5X Long Bitcoin C,0 5X Long Bitcoin C,0
ARNX_ETH,ARNX.ETH,Aeron,Aeron,18
SNIPE_ETH,SNIPE.ETH,AnySniper,AnySniper,18
CRU_ETH,CRU.ETH,Crust Network,Crust Network,18
ZNT_ETH,ZNT.ETH,Zenswap Network Tok,Zenswap Network Tok,18
MCF_ETH,MCF.ETH,MCFinance,MCFinance,10
PRDX_ETH,PRDX.ETH,Predix Network,Predix Network,18
LBXC_ETH,LBXC.ETH,LUX BIO EXCHANGE CO,LUX BIO EXCHANGE CO,18
QBU_ETH,QBU.ETH,Quannabu,Quannabu,18
WAMPL_ETH,WAMPL.ETH,Wrapped Ampleforth,Wrapped Ampleforth,18
XGDAO_ETH,XGDAO.ETH,GDAO Governance Vau,GDAO Governance Vau,18
TOC_ETH,TOC.ETH,TouchCon,TouchCon,18
LLAND_ETH,LLAND.ETH,Lyfe Land,Lyfe Land,18
MITH_ETH,MITH.ETH,Mithril,Mithril,18
METAPORTAL_ETH,METAPORTAL.ETH,MetaPortal,MetaPortal,9
GIG_ETH,GIG.ETH,Krios,Krios,18
CRE_ETH,CRE.ETH,Carry,Carry,18
SDL_ETH,SDL.ETH,Saddle Finance,Saddle Finance,18
SHEEB_ETH,SHEEB.ETH,Sheeba Inu,Sheeba Inu,18
FML_ETH,FML.ETH,FormulA,FormulA,18
UCOIN_ETH,UCOIN.ETH,Universal Coin,Universal Coin,18
EMONT_ETH,EMONT.ETH,EthermonToken,EthermonToken,8
XTZHEDGE_ETH,XTZHEDGE.ETH,1X Short Tezos Toke,1X Short Tezos Toke,0
ETCBULL_ETH,ETCBULL.ETH,3X Long Ethereum Cl,3X Long Ethereum Cl,18
SWAT_ETH,SWAT.ETH,SWTCoin,SWTCoin,8
WCELO_ETH,WCELO.ETH,Wrapped CELO,Wrapped CELO,18
MT_ETH,MT.ETH,MyToken,MyToken,18
VGO_ETH,VGO.ETH,Virtual Goods Token,Virtual Goods Token,18
ZURR_ETH,ZURR.ETH,ZURRENCY,ZURRENCY,18
AAC_ETH,AAC.ETH,Double A Chain,Double A Chain,5
UKG_ETH,UKG.ETH,Unikoin Gold,Unikoin Gold,18
CPT_ETH,CPT.ETH,Cryptaur,Cryptaur,8
CRS_ETH,CRS.ETH,Crypto Rewards Stud,Crypto Rewards Stud,18
ONEUNI_ETH,ONEUNI.ETH,Stable UNI,Stable UNI,18
GVT_ETH,GVT.ETH,Genesis Vision,Genesis Vision,18
MASK_ETH,MASK.ETH,Mask Network,Mask Network,18
GNX_ETH,GNX.ETH,Genaro Network,Genaro Network,9
ARDX_ETH,ARDX.ETH,ArdCoin,ArdCoin,2
CHADS_ETH,CHADS.ETH,CHADS VC,CHADS VC,18
GLYPH_ETH,GLYPH.ETH,GLYPH Vault  NFTX ,GLYPH Vault  NFTX ,18
POCHI_ETH,POCHI.ETH,Pochi Inu,Pochi Inu,18
KP4R_ETH,KP4R.ETH,Keep4r,Keep4r,18
ELX_ETH,ELX.ETH,Energy Ledger,Energy Ledger,18
OUSD_ETH,OUSD.ETH,Origin Dollar,Origin Dollar,18
SLT_ETH,SLT.ETH,SLT,SLT,8
HDS_ETH,HDS.ETH,HotDollars Token,HotDollars Token,18
DOGEP_ETH,DOGEP.ETH,Doge Protocol,Doge Protocol,18
SYN_ETH,SYN.ETH,Synapse,Synapse,18
PUGL_ETH,PUGL.ETH,PugLife,PugLife,18
